class_name,support,precision,recall,f1
30HudsonYards,21,1.0,0.8571428571428571,0.923076923076923
432ParkAve,17,0.9411764705882353,0.9411764705882353,0.9411764705882353
BrooklynBridge,18,0.8947368421052632,0.9444444444444444,0.918918918918919
ChryslerBuilding,49,0.9787234042553191,0.9387755102040817,0.9583333333333333
ColumbiaLowMemorialLibrary,20,1.0,0.95,0.9743589743589743
EmpireState,34,0.9375,0.8823529411764706,0.9090909090909091
Flatiron,28,1.0,1.0,1.0
MetlifeBuilding,17,0.8095238095238095,1.0,0.8947368421052632
NYPublicLibrary,27,0.896551724137931,0.9629629629629629,0.9285714285714286
StatueOfLiberty,46,1.0,0.9565217391304348,0.9777777777777777
TheSummit,19,1.0,0.8947368421052632,0.9444444444444444
TheVessel,17,0.9444444444444444,1.0,0.9714285714285714
Timesquare,20,1.0,1.0,1.0
UNBuilding,32,0.9696969696969697,1.0,0.9846153846153847
WTC,29,0.875,0.9655172413793104,0.9180327868852458
